Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,2.130000,2.190000,2.110000,2.180000,2.180000,128594
2020-05-27,2.170000,2.240000,2.160000,2.180000,2.180000,69173
2020-05-28,2.180000,2.260000,2.180000,2.200000,2.200000,74360
2020-05-29,2.250000,2.300000,2.240000,2.270000,2.270000,177845
2020-06-02,2.280000,2.350000,2.280000,2.320000,2.320000,110662
2020-06-03,2.340000,2.480000,2.340000,2.470000,2.470000,195359
2020-06-04,2.480000,2.800000,2.480000,2.700000,2.700000,365153
2020-06-05,2.750000,2.990000,2.710000,2.910000,2.910000,288675
2020-06-08,2.950000,3.270000,2.950000,3.250000,3.250000,406659
2020-06-09,3.330000,3.560000,3.230000,3.540000,3.540000,374564
2020-06-10,3.600000,3.840000,3.600000,3.780000,3.780000,304000
2020-06-11,3.780000,3.820000,3.300000,3.420000,3.420000,323210
2020-06-12,3.300000,3.300000,2.730000,3.100000,3.100000,619324
2020-06-15,3.100000,3.520000,3.100000,3.200000,3.200000,329869
2020-06-16,3.300000,3.400000,3.150000,3.300000,3.300000,188793
2020-06-17,3.300000,3.300000,2.900000,2.960000,2.960000,120057
2020-06-18,2.950000,3.060000,2.920000,3.020000,3.020000,271303
2020-06-19,2.960000,3.020000,2.930000,3.020000,3.020000,90773
2020-06-22,2.950000,2.950000,2.810000,2.810000,2.810000,261328
2020-06-23,2.850000,2.890000,2.820000,2.820000,2.820000,103596
2020-06-24,2.800000,2.850000,2.620000,2.730000,2.730000,183707
2020-06-25,2.660000,2.680000,2.530000,2.530000,2.530000,248761
2020-06-26,2.550000,2.650000,2.540000,2.560000,2.560000,121946
2020-06-29,2.650000,3.140000,2.640000,3.000000,3.000000,313901
2020-06-30,3.000000,3.100000,2.990000,3.030000,3.030000,149145
2020-07-01,3.050000,3.060000,2.900000,2.950000,2.950000,60457
2020-07-02,2.950000,2.950000,2.880000,2.940000,2.940000,57214
2020-07-03,2.930000,2.940000,2.890000,2.900000,2.900000,45405
2020-07-06,2.900000,3.000000,2.900000,2.910000,2.910000,59297
2020-07-07,2.950000,2.960000,2.930000,2.950000,2.950000,37393
2020-07-08,2.950000,2.950000,2.900000,2.900000,2.900000,21074
2020-07-09,2.900000,2.930000,2.840000,2.880000,2.880000,131403
2020-07-10,2.850000,2.870000,2.820000,2.820000,2.820000,60966
2020-07-13,2.820000,2.830000,2.800000,2.800000,2.800000,71962
2020-07-14,2.800000,2.810000,2.700000,2.720000,2.720000,47409
2020-07-15,2.720000,2.790000,2.700000,2.790000,2.790000,52296
2020-07-16,2.780000,2.780000,2.720000,2.720000,2.720000,36820
2020-07-17,2.720000,2.770000,2.650000,2.690000,2.690000,71283
2020-07-20,2.690000,2.750000,2.680000,2.680000,2.680000,33971
2020-07-21,2.680000,2.770000,2.670000,2.670000,2.670000,31983
2020-07-22,2.700000,2.780000,2.700000,2.750000,2.750000,81410
2020-07-23,2.750000,2.770000,2.740000,2.770000,2.770000,42160
2020-07-24,2.760000,2.780000,2.700000,2.780000,2.780000,35088
2020-07-27,2.750000,2.770000,2.730000,2.730000,2.730000,23246
2020-07-28,2.730000,2.770000,2.700000,2.700000,2.700000,85786
2020-07-29,2.700000,2.780000,2.700000,2.740000,2.740000,19722
2020-07-30,2.750000,2.770000,2.720000,2.750000,2.750000,32372
2020-07-31,2.750000,2.780000,2.740000,2.750000,2.750000,29037
2020-08-03,2.750000,2.770000,2.710000,2.720000,2.720000,18381
2020-08-04,2.720000,2.780000,2.680000,2.700000,2.700000,85926
2020-08-05,2.700000,2.740000,2.670000,2.700000,2.700000,32388
2020-08-06,2.710000,2.720000,2.700000,2.700000,2.700000,29691
2020-08-07,2.700000,2.710000,2.700000,2.700000,2.700000,54941
2020-08-10,2.700000,2.700000,2.660000,2.660000,2.660000,21836
2020-08-11,2.660000,2.710000,2.640000,2.660000,2.660000,96423
2020-08-12,2.570000,2.640000,2.340000,2.600000,2.600000,275088
2020-08-13,2.570000,2.570000,2.510000,2.540000,2.540000,366734
2020-08-14,2.540000,2.560000,2.500000,2.560000,2.560000,153777
2020-08-17,2.560000,2.650000,2.550000,2.610000,2.610000,52101
2020-08-18,2.660000,2.700000,2.640000,2.680000,2.680000,75765
2020-08-19,2.660000,2.670000,2.600000,2.610000,2.610000,47531
2020-08-20,2.610000,2.660000,2.600000,2.600000,2.600000,191930
2020-08-21,2.600000,2.650000,2.590000,2.600000,2.600000,64684
2020-08-24,2.600000,2.670000,2.600000,2.650000,2.650000,64784
2020-08-25,2.650000,2.650000,2.590000,2.600000,2.600000,115107
2020-08-26,2.600000,2.620000,2.590000,2.600000,2.600000,150443
2020-08-27,2.590000,2.620000,2.590000,2.600000,2.600000,33906
2020-08-28,2.600000,2.610000,2.590000,2.610000,2.610000,127110
2020-08-31,4.000000,4.000000,3.600000,3.700000,3.700000,1286032
2020-09-01,3.720000,3.780000,3.700000,3.740000,3.740000,794253
2020-09-02,3.720000,3.780000,3.710000,3.750000,3.750000,223845
2020-09-03,3.760000,3.770000,3.750000,3.750000,3.750000,79521
2020-09-04,3.760000,3.780000,3.760000,3.780000,3.780000,173427
2020-09-07,3.770000,3.780000,3.760000,3.780000,3.780000,137123
2020-09-08,3.770000,3.790000,3.770000,3.780000,3.780000,547920
2020-09-09,3.780000,3.790000,3.770000,3.780000,3.780000,46124
2020-09-10,3.780000,3.790000,3.770000,3.790000,3.790000,85501
2020-09-11,3.780000,3.790000,3.770000,3.780000,3.780000,53837
2020-09-14,3.780000,3.790000,3.770000,3.780000,3.780000,150148
2020-09-15,3.780000,3.780000,3.770000,3.780000,3.780000,148767
2020-09-16,3.770000,3.790000,3.770000,3.780000,3.780000,44322
2020-09-17,3.790000,3.790000,3.780000,3.780000,3.780000,46154
2020-09-18,3.770000,3.790000,3.770000,3.780000,3.780000,28434
2020-09-21,3.780000,3.800000,3.780000,3.780000,3.780000,75235
2020-09-22,3.780000,3.780000,3.780000,3.780000,3.780000,15861
2020-09-23,3.780000,3.790000,3.780000,3.780000,3.780000,7779
2020-09-24,3.790000,3.790000,3.780000,3.780000,3.780000,19889
2020-09-25,3.780000,3.780000,3.780000,3.780000,3.780000,19794
2020-09-28,3.790000,3.790000,3.780000,3.780000,3.780000,9333
2020-09-29,3.780000,3.790000,3.770000,3.780000,3.780000,41808
2020-09-30,3.780000,3.790000,3.780000,3.780000,3.780000,17225
2020-10-01,3.780000,3.790000,3.780000,3.780000,3.780000,47092
2020-10-02,3.780000,3.780000,3.780000,3.780000,3.780000,5832
2020-10-05,3.780000,3.790000,3.780000,3.780000,3.780000,10664
2020-10-06,3.780000,3.790000,3.780000,3.790000,3.790000,38628
2020-10-07,3.790000,3.800000,3.780000,3.800000,3.800000,45491
2020-10-08,3.800000,3.800000,3.800000,3.800000,3.800000,0
2020-10-09,3.800000,3.800000,3.800000,3.800000,3.800000,0
2020-10-12,4.040000,4.340000,4.040000,4.300000,4.300000,146087
2020-10-13,4.300000,4.300000,4.200000,4.260000,4.260000,758408
2020-10-14,4.260000,4.270000,4.260000,4.260000,4.260000,35014
2020-10-15,4.260000,4.270000,4.210000,4.210000,4.210000,71992
2020-10-16,4.210000,4.250000,4.210000,4.220000,4.220000,22462
2020-10-19,4.240000,4.250000,4.200000,4.200000,4.200000,28166
2020-10-20,4.170000,4.220000,4.160000,4.220000,4.220000,18788
2020-10-21,4.230000,4.300000,4.220000,4.300000,4.300000,98366
2020-10-22,4.300000,4.340000,4.280000,4.340000,4.340000,60223
2020-10-23,4.350000,4.360000,4.350000,4.350000,4.350000,53114
2020-10-27,4.350000,4.360000,4.340000,4.350000,4.350000,52619
2020-10-28,4.340000,4.350000,4.340000,4.340000,4.340000,24854
2020-10-29,4.340000,4.340000,4.280000,4.280000,4.280000,36617
2020-10-30,4.310000,4.350000,4.310000,4.320000,4.320000,19381
2020-11-02,null,null,null,null,null,null
2020-11-03,4.350000,4.350000,4.340000,4.340000,4.340000,12784
